microcosm_id	well	a	a_sp	a_f	b	b_sp	b_f	c	c_sp	c_f	d	d_sp	d_f
25	A05	ANC_0403_70	0403A	70	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
26	A06	ANC_0403_70	0403A	70	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
27	A07	ANC_0403_70	0403A	70	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
28	A08	ANC_0403_70	0403A	70	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
29	A09	ANC_0403_70	0403A	70	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
30	A10	ANC_0403_70	0403A	70	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
31	A11	ANC_0403_70	0403A	70	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
32	A12	ANC_0403_70	0403A	70	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
57	B05	EVO_0403_70	0403E	70	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
58	B06	EVO_0403_70	0403E	70	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
59	B07	EVO_0403_70	0403E	70	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
60	B08	EVO_0403_70	0403E	70	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
61	B09	EVO_0403_70	0403E	70	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
62	B10	EVO_0403_70	0403E	70	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
63	B11	EVO_0403_70	0403E	70	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
64	B12	EVO_0403_70	0403E	70	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
15	C01	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_70	1896A	70	ANC_1977_10	1977A	10
16	C02	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_70	1896A	70	EVO_1977_10	1977E	10
19	C03	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_70	1896E	70	ANC_1977_10	1977A	10
20	C04	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
9	C05	ANC_0403_10	0403A	10	ANC_1287_70	1287A	70	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
10	C06	ANC_0403_10	0403A	10	ANC_1287_70	1287A	70	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
11	C07	ANC_0403_10	0403A	10	ANC_1287_70	1287A	70	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
12	C08	ANC_0403_10	0403A	10	ANC_1287_70	1287A	70	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
21	C09	ANC_0403_10	0403A	10	EVO_1287_70	1287E	70	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
22	C10	ANC_0403_10	0403A	10	EVO_1287_70	1287E	70	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
23	C11	ANC_0403_10	0403A	10	EVO_1287_70	1287E	70	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
24	C12	ANC_0403_10	0403A	10	EVO_1287_70	1287E	70	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
47	D01	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_70	1896A	70	ANC_1977_10	1977A	10
48	D02	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_70	1896A	70	EVO_1977_10	1977E	10
51	D03	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_70	1896E	70	ANC_1977_10	1977A	10
52	D04	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
41	D05	EVO_0403_10	0403E	10	ANC_1287_70	1287A	70	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
42	D06	EVO_0403_10	0403E	10	ANC_1287_70	1287A	70	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
43	D07	EVO_0403_10	0403E	10	ANC_1287_70	1287A	70	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
44	D08	EVO_0403_10	0403E	10	ANC_1287_70	1287A	70	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
53	D09	EVO_0403_10	0403E	10	EVO_1287_70	1287E	70	ANC_1896_10	1896A	10	ANC_1977_10	1977A	10
54	D10	EVO_0403_10	0403E	10	EVO_1287_70	1287E	70	ANC_1896_10	1896A	10	EVO_1977_10	1977E	10
55	D11	EVO_0403_10	0403E	10	EVO_1287_70	1287E	70	EVO_1896_10	1896E	10	ANC_1977_10	1977A	10
56	D12	EVO_0403_10	0403E	10	EVO_1287_70	1287E	70	EVO_1896_10	1896E	10	EVO_1977_10	1977E	10
1	E01	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
2	E02	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
5	E03	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
6	E04	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
3	E05	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	ANC_1977_10	1977A	10
4	E06	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	EVO_1977_10	1977E	10
7	E07	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	ANC_1977_10	1977A	10
8	E08	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
13	E09	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
14	E10	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
17	E11	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
18	E12	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
33	F01	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
34	F02	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
37	F03	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
38	F04	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
35	F05	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	ANC_1977_10	1977A	10
36	F06	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_70	1896A	70	EVO_1977_10	1977E	10
39	F07	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	ANC_1977_10	1977A	10
40	F08	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_70	1896E	70	EVO_1977_10	1977E	10
45	F09	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	ANC_1977_70	1977A	70
46	F10	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10	EVO_1977_70	1977E	70
49	F11	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	ANC_1977_70	1977A	70
50	F12	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10	EVO_1977_70	1977E	70
