microcosm_id	well	a	a_sp	a_f	b	b_sp	b_f	c	c_sp	c_f
1	A01	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1896_80	1896A	80
2	A02	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	ANC_1977_80	1977A	80
3	A03	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1896_80	1896E	80
4	A04	ANC_0403_10	0403A	10	ANC_1287_10	1287A	10	EVO_1977_80	1977E	80
5	A05	ANC_0403_10	0403A	10	ANC_1287_80	1287A	80	ANC_1896_10	1896A	10
6	A06	ANC_0403_10	0403A	10	ANC_1287_80	1287A	80	ANC_1977_10	1977A	10
7	A07	ANC_0403_10	0403A	10	ANC_1287_80	1287A	80	EVO_1896_10	1896E	10
8	A08	ANC_0403_10	0403A	10	ANC_1287_80	1287A	80	EVO_1977_10	1977E	10
9	A09	ANC_0403_10	0403A	10	ANC_1977_10	1977A	10	ANC_1896_80	1896A	80
10	A10	ANC_0403_10	0403A	10	ANC_1977_10	1977A	10	EVO_1896_80	1896E	80
11	A11	ANC_0403_10	0403A	10	ANC_1977_80	1977A	80	ANC_1896_10	1896A	10
12	A12	ANC_0403_10	0403A	10	ANC_1977_80	1977A	80	EVO_1896_10	1896E	10
49	B01	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1896_80	1896A	80
50	B02	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	ANC_1977_80	1977A	80
51	B03	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1896_80	1896E	80
52	B04	EVO_0403_10	0403E	10	ANC_1287_10	1287A	10	EVO_1977_80	1977E	80
53	B05	EVO_0403_10	0403E	10	ANC_1287_80	1287A	80	ANC_1896_10	1896A	10
54	B06	EVO_0403_10	0403E	10	ANC_1287_80	1287A	80	ANC_1977_10	1977A	10
55	B07	EVO_0403_10	0403E	10	ANC_1287_80	1287A	80	EVO_1896_10	1896E	10
56	B08	EVO_0403_10	0403E	10	ANC_1287_80	1287A	80	EVO_1977_10	1977E	10
57	B09	EVO_0403_10	0403E	10	ANC_1977_10	1977A	10	ANC_1896_80	1896A	80
58	B10	EVO_0403_10	0403E	10	ANC_1977_10	1977A	10	EVO_1896_80	1896E	80
59	B11	EVO_0403_10	0403E	10	ANC_1977_80	1977A	80	ANC_1896_10	1896A	10
60	B12	EVO_0403_10	0403E	10	ANC_1977_80	1977A	80	EVO_1896_10	1896E	10
13	C01	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1896_80	1896A	80
14	C02	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80
15	C03	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1896_80	1896E	80
16	C04	ANC_0403_10	0403A	10	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80
17	C05	ANC_0403_10	0403A	10	EVO_1287_80	1287E	80	ANC_1896_10	1896A	10
18	C06	ANC_0403_10	0403A	10	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10
19	C07	ANC_0403_10	0403A	10	EVO_1287_80	1287E	80	EVO_1896_10	1896E	10
20	C08	ANC_0403_10	0403A	10	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10
21	C09	ANC_0403_10	0403A	10	EVO_1977_10	1977E	10	ANC_1896_80	1896A	80
22	C10	ANC_0403_10	0403A	10	EVO_1977_10	1977E	10	EVO_1896_80	1896E	80
23	C11	ANC_0403_10	0403A	10	EVO_1977_80	1977E	80	ANC_1896_10	1896A	10
24	C12	ANC_0403_10	0403A	10	EVO_1977_80	1977E	80	EVO_1896_10	1896E	10
61	D01	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1896_80	1896A	80
62	D02	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80
63	D03	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1896_80	1896E	80
64	D04	EVO_0403_10	0403E	10	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80
65	D05	EVO_0403_10	0403E	10	EVO_1287_80	1287E	80	ANC_1896_10	1896A	10
66	D06	EVO_0403_10	0403E	10	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10
67	D07	EVO_0403_10	0403E	10	EVO_1287_80	1287E	80	EVO_1896_10	1896E	10
68	D08	EVO_0403_10	0403E	10	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10
69	D09	EVO_0403_10	0403E	10	EVO_1977_10	1977E	10	ANC_1896_80	1896A	80
70	D10	EVO_0403_10	0403E	10	EVO_1977_10	1977E	10	EVO_1896_80	1896E	80
71	D11	EVO_0403_10	0403E	10	EVO_1977_80	1977E	80	ANC_1896_10	1896A	10
72	D12	EVO_0403_10	0403E	10	EVO_1977_80	1977E	80	EVO_1896_10	1896E	10
25	E01	ANC_0403_80	0403A	80	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10
26	E02	ANC_0403_80	0403A	80	ANC_1287_10	1287A	10	ANC_1977_10	1977A	10
27	E03	ANC_0403_80	0403A	80	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10
28	E04	ANC_0403_80	0403A	80	ANC_1287_10	1287A	10	EVO_1977_10	1977E	10
29	E05	ANC_0403_80	0403A	80	ANC_1977_10	1977A	10	ANC_1896_10	1896A	10
30	E06	ANC_0403_80	0403A	80	ANC_1977_10	1977A	10	EVO_1896_10	1896E	10
31	E07	ANC_0403_80	0403A	80	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10
32	E08	ANC_0403_80	0403A	80	EVO_1287_10	1287E	10	ANC_1977_10	1977A	10
33	E09	ANC_0403_80	0403A	80	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10
34	E10	ANC_0403_80	0403A	80	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10
35	E11	ANC_0403_80	0403A	80	EVO_1977_10	1977E	10	ANC_1896_10	1896A	10
36	E12	ANC_0403_80	0403A	80	EVO_1977_10	1977E	10	EVO_1896_10	1896E	10
73	F01	EVO_0403_80	0403E	80	ANC_1287_10	1287A	10	ANC_1896_10	1896A	10
74	F02	EVO_0403_80	0403E	80	ANC_1287_10	1287A	10	ANC_1977_10	1977A	10
75	F03	EVO_0403_80	0403E	80	ANC_1287_10	1287A	10	EVO_1896_10	1896E	10
76	F04	EVO_0403_80	0403E	80	ANC_1287_10	1287A	10	EVO_1977_10	1977E	10
77	F05	EVO_0403_80	0403E	80	ANC_1977_10	1977A	10	ANC_1896_10	1896A	10
78	F06	EVO_0403_80	0403E	80	ANC_1977_10	1977A	10	EVO_1896_10	1896E	10
79	F07	EVO_0403_80	0403E	80	EVO_1287_10	1287E	10	ANC_1896_10	1896A	10
80	F08	EVO_0403_80	0403E	80	EVO_1287_10	1287E	10	ANC_1977_10	1977A	10
81	F09	EVO_0403_80	0403E	80	EVO_1287_10	1287E	10	EVO_1896_10	1896E	10
82	F10	EVO_0403_80	0403E	80	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10
83	F11	EVO_0403_80	0403E	80	EVO_1977_10	1977E	10	ANC_1896_10	1896A	10
84	F12	EVO_0403_80	0403E	80	EVO_1977_10	1977E	10	EVO_1896_10	1896E	10
37	G01	ANC_1287_10	1287A	10	ANC_1977_10	1977A	10	ANC_1896_80	1896A	80
38	G02	ANC_1287_10	1287A	10	ANC_1977_10	1977A	10	EVO_1896_80	1896E	80
39	G03	ANC_1287_10	1287A	10	ANC_1977_80	1977A	80	ANC_1896_10	1896A	10
40	G04	ANC_1287_10	1287A	10	ANC_1977_80	1977A	80	EVO_1896_10	1896E	10
41	G05	ANC_1287_10	1287A	10	EVO_1977_10	1977E	10	ANC_1896_80	1896A	80
42	G06	ANC_1287_10	1287A	10	EVO_1977_10	1977E	10	EVO_1896_80	1896E	80
43	G07	ANC_1287_10	1287A	10	EVO_1977_80	1977E	80	ANC_1896_10	1896A	10
44	G08	ANC_1287_10	1287A	10	EVO_1977_80	1977E	80	EVO_1896_10	1896E	10
45	G09	ANC_1287_80	1287A	80	ANC_1977_10	1977A	10	ANC_1896_10	1896A	10
46	G10	ANC_1287_80	1287A	80	ANC_1977_10	1977A	10	EVO_1896_10	1896E	10
47	G11	ANC_1287_80	1287A	80	EVO_1977_10	1977E	10	ANC_1896_10	1896A	10
48	G12	ANC_1287_80	1287A	80	EVO_1977_10	1977E	10	EVO_1896_10	1896E	10
85	H01	EVO_1287_10	1287E	10	ANC_1977_10	1977A	10	ANC_1896_80	1896A	80
86	H02	EVO_1287_10	1287E	10	ANC_1977_10	1977A	10	EVO_1896_80	1896E	80
87	H03	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80	ANC_1896_10	1896A	10
88	H04	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80	EVO_1896_10	1896E	10
89	H05	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10	ANC_1896_80	1896A	80
90	H06	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10	EVO_1896_80	1896E	80
91	H07	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80	ANC_1896_10	1896A	10
92	H08	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80	EVO_1896_10	1896E	10
93	H09	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10	ANC_1896_10	1896A	10
94	H10	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10	EVO_1896_10	1896E	10
95	H11	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10	ANC_1896_10	1896A	10
96	H12	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10	EVO_1896_10	1896E	10
